,categoryName,grossProfit,grossProfitRate,saleAmount,saleIncome,supplierName,totalCost
1,食用油,900.6,8.13%,86,11082.6,山东鲁花集团商贸有限公司西安分公司,10182.0
2,调料,556.8,24.20%,146,2300.8,山东鲁花集团商贸有限公司西安分公司,1744.0
3,大米,119.5,20.62%,5,579.5,山东鲁花集团商贸有限公司西安分公司,460.0
4,面粉,534.0,17.66%,62,3023.0,陕西老牛面粉有限公司,2489.0
5,零食,1955.14,28.56%,426,6845.78,西安菲达食品商贸有限公司,4890.64
6,饮料,668.7,28.74%,199,2326.7,西安菲达食品商贸有限公司,1658.0
7,副食,93.0,24.73%,7,376.0,西安菲达食品商贸有限公司,283.0
8,乳制品,800.0,24.04%,92,3327.6,西安菲达食品商贸有限公司,2527.6
9,腊肉类,1140.5,18.76%,123,6080.0,西安永信清真肉类食品有限公司,4939.5
10,蔬菜,1112.65,6.00%,2433,18544.1,祥坤蔬菜,17431.45
11,水果,5153.5,10.00%,2284,51534.99,水和贸易（水果）,46381.49
12,蛋糕,1071.4,19.89%,318,5386.9,西安经济技术开发区蓝鲁蛋糕店,4315.5
13,鸡蛋,751.4,15.66%,181,4799.0,西安傲涵贸易有限公司,4047.6
14,大米,0.0,0.00%,0,0.0,西安尼欧商贸有限公司,0.0
15,鸡蛋,913.5,17.95%,261,5089.5,西安秦南农副产品贸易有限公司,4176.0
16,零食,3085.38,20.40%,673,15124.3,西安丰泰永泽商贸有限公司,12038.92
17,副食,389.0,20.37%,85,1909.7,西安丰泰永泽商贸有限公司,1520.7
18,冻货,2005.2,17.91%,180,11198.3,西安丰泰永泽商贸有限公司,9193.1
19,大米,1173.8,16.37%,92,7170.8,西安腾旺贸易有限公司,5997.0
20,乳制品,3527.7,19.89%,450,17739.6,西安腾旺贸易有限公司,14211.9
21,副食,80.8,22.21%,32,363.8,西安腾旺贸易有限公司,283.0
22,食用油,457.4,18.87%,22,2423.4,西安腾旺贸易有限公司,1966.0
23,副食,3.8,5.96%,4,63.8,米脂县李均沟富产粉条专业合作社,60.0
24,乳制品酸奶,2229.0,21.40%,1475,10416.4,陕西小大贸易有限公司,8187.4
25,乳制品纯奶,954.0,15.61%,106,6113.0,陕西小大贸易有限公司,5159.0
26,食用油,112.0,14.61%,7,766.5,西安丹君商贸有限公司,654.5
27,副食,61.2,18.23%,14,335.8,西安三炫农业科技有限公司,274.6
28,杂品类,109.18,43.94%,497,248.5,新城区西华陶瓷厨具经营部,139.32
29,饮料,3545.02,18.10%,4295,19587.82,西安海和景商贸有限公司,16042.8
30,副食,240.7,24.87%,92,967.8,西安海和景商贸有限公司,727.1
31,调料,894.8,23.16%,491,3863.6,陕西臻泽农业发展有限公司,2968.8
32,干货,42.64,26.99%,6,158.0,陕西臻泽农业发展有限公司,115.36
33,鸡蛋,204.1,16.50%,56,1237.2,西安超乐惠商贸有限公司,1033.1
34,乳制品,564.5,17.50%,76,3226.2,西安超乐惠商贸有限公司,2661.7
35,零食,400.2,16.54%,188,2419.1,西安超乐惠商贸有限公司,2018.9
36,干货,901.4,23.27%,117,3874.1,陕西野森林现代农业有限公司,2972.7
37,调料,919.8,26.42%,275,3481.0,陕西野森林现代农业有限公司,2561.2
38,杂粮,566.5,22.32%,147,2538.4,陕西野森林现代农业有限公司,1971.9
39,肉类,1819.08,8.00%,462,22738.5,盛钦商贸公司（肉）,20919.42
40,冻货,1431.7,19.02%,155,7528.7,西安品优兴农产品有限公司,6097.0
41,零食,2502.1,21.62%,971,11571.0,西安和天熙商贸有限公司,9068.9
42,蛋糕,532.46,12.01%,222,4434.8,西安和天熙商贸有限公司,3902.34
43,副食,631.6,25.06%,119,2520.2,西安和天熙商贸有限公司,1888.6
44,零食,46.5,22.12%,18,210.2,西安其林贸易有限公司,163.7
45,蛋糕,232.7,21.54%,38,1080.4,西安一生一客食品有限公司,847.7
