,amount,avgCost,categoryName,importPrice,serialNum
0,-1,10.38,蛋糕,-10.38,6948942512691
1,3,15.84,蛋糕,47.52,6371251261
2,3,8.62,蛋糕,25.86,6948942511618
3,4,8.62,蛋糕,34.48,6948942511069
4,3,15.84,蛋糕,47.52,6371251260
5,9,31.68,蛋糕,285.12,6371251269
6,8,25.52,蛋糕,204.16,6371251270
7,9,34.32,蛋糕,308.88,6371251271
8,10,28.16,蛋糕,281.6,6371251272
9,1,22.88,蛋糕,22.88,6371251273
10,10,10.56,蛋糕,105.6,6371251274
11,11,22.88,蛋糕,251.68,6371251275
12,-6,13.2,蛋糕,-79.2,6371251234
13,6,12.14,蛋糕,72.84,6371251240
14,-16,21.12,蛋糕,-337.92,6371251245
15,-2,7.04,蛋糕,-14.08,6371251244
16,-3,11.26,蛋糕,-33.78,6371251242
17,1,13.2,蛋糕,13.2,6371251241
18,-1,16.54,蛋糕,-16.54,6371251246
19,-3,11.26,蛋糕,-33.78,6371251239
20,-1,13.9,蛋糕,-13.9,6371251238
21,-9,11.26,蛋糕,-101.34,6371251237
22,-11,10.56,蛋糕,-116.16,6371251236
23,-3,13.2,蛋糕,-39.6,6371251235
24,4,15.84,蛋糕,63.36,6371251259
25,5,17.6,蛋糕,88.0,6371251253
26,10,15.84,蛋糕,158.4,6371251258
27,5,17.6,蛋糕,88.0,6371251254
28,-3,13.9,蛋糕,-41.7,6371251247
29,2,28.16,蛋糕,56.32,6371251252
39,10,8.8,蛋糕,88.0,6371251251
40,9,7.74,蛋糕,69.66,6371251250
41,-3,8.8,蛋糕,-26.4,6371251249
42,-10,12.14,蛋糕,-121.4,6371251248
